"district","hour","resarea1","resarea2","resarea3"
"220","12am",9.669224,86.501388,3.829388
"221","12am",10.81443,89.18557,0
"222","12am",87.38078,12.61922,0
"223","12am",8.433024,91.566976,0
"224","12am",91.960661,4.874801,3.164538
"101","1pm",19.027436,23.295938,57.676626
"102","1pm",16.148217,16.629363,67.22242
"103","1pm",13.876795,11.41295,74.710254
"104","1pm",12.11096,20.407089,67.481951
"105","1pm",32.058719,17.268974,50.672307
"106","1pm",24.481721,14.200108,61.318171
"107","1pm",8.824076,6.104986,85.070938
"108","1pm",12.144004,4.321658,83.534338
"109","1pm",8.684502,78.604613,12.710884
"110","1pm",6.192266,80.760087,13.047648
"111","1pm",11.189131,84.770122,4.040747
"112","1pm",21.396155,44.999496,33.604348
"113","1pm",16.530393,78.168196,5.30141
"114","1pm",21.391141,68.489569,10.11929
"115","1pm",89.747529,7.063843,3.188628
"116","1pm",13.29806,77.279246,9.422694
"117","1pm",22.122226,70.057571,7.820203
"118","1pm",3.362286,91.619037,5.018677
"119","1pm",92.739632,7.260368,0
"120","1pm",90.628662,9.371338,0
"121","1pm",90.052581,9.947419,0
"122","1pm",93.87171,6.12829,0
"123","1pm",95.879148,4.120852,0
"124","1pm",94.5954,5.4046,0
"125","1pm",92.166797,6.831166,1.002037
"126","1pm",82.893175,17.106825,0
"127","1pm",85.213535,8.442363,6.344103
"128","1pm",88.205394,4.619604,7.175002
"129","1pm",85.678801,1.37672,12.944479
"130","1pm",98.685184,1.314816,0
"131","1pm",91.960349,8.039651,0
"132","1pm",94.237011,4.03311,1.729879
"201","1pm",93.718714,0,6.281286
"202","1pm",96.41055,1.983507,1.605943
"203","1pm",92.603125,4.362502,3.034373
"204","1pm",98.973689,1.026311,0
"205","1pm",100,0,0
"206","1pm",100,0,0
"207","1pm",98.771777,0,1.228223
"208","1pm",100,0,0
"209","1pm",94.194481,5.805519,0
"210","1pm",16.610451,77.669398,5.720151
"211","1pm",97.899696,2.100304,0
"212","1pm",89.183555,10.816445,0
"213","1pm",93.419483,6.580517,0
"214","1pm",100,0,0
"215","1pm",96.209214,1.873684,1.917103
"216","1pm",86.549622,9.939504,3.510874
"217","1pm",5.422547,94.577453,0
"218","1pm",13.77421,86.22579,0
"219","1pm",4.218738,95.781262,0
"220","1pm",12.766305,83.533626,3.70007
"221","1pm",12.358978,87.641022,0
"222","1pm",85.340774,14.659226,0
"223","1pm",9.249586,90.750414,0
"224","1pm",93.441898,3.453066,3.105036
"101","2pm",18.306883,23.468976,58.224141
"102","2pm",14.368003,16.768666,68.863331
"103","2pm",14.820994,13.309656,71.86935
"104","2pm",11.005711,22.20168,66.792609
"105","2pm",30.861933,19.333436,49.804631
"106","2pm",25.274886,13.812391,60.912723
"107","2pm",11.91103,10.298706,77.790264
"108","2pm",13.508256,7.314439,79.177305
"109","2pm",9.089932,75.405931,15.504136
"110","2pm",7.063075,80.239467,12.697458
"111","2pm",9.606965,86.120594,4.27244
"112","2pm",20.114515,43.429732,36.455753
"113","2pm",20.177155,72.191411,7.631433
"114","2pm",19.964068,71.449163,8.586768
"115","2pm",88.07905,8.510311,3.410639
"116","2pm",15.529232,71.3607,13.110067
"117","2pm",21.95842,69.581673,8.459907
"118","2pm",3.511549,88.671823,7.816628
"119","2pm",91.490817,8.509183,0
"120","2pm",90.605033,9.394967,0
"121","2pm",88.461274,7.655517,3.883209
"122","2pm",97.081242,2.918758,0
"123","2pm",96.068222,3.931778,0
"124","2pm",94.639984,5.360016,0
"125","2pm",92.102924,6.886868,1.010208
"126","2pm",81.978859,18.021141,0
"127","2pm",85.165237,8.863255,5.971508
"128","2pm",88.714214,4.09145,7.194336
"129","2pm",84.809525,4.662478,10.527997
"130","2pm",91.201415,8.798585,0
"131","2pm",93.226559,6.773441,0
"132","2pm",94.224493,4.359033,1.416474
"201","2pm",90.072692,3.774845,6.152463
"202","2pm",91.947867,3.965162,4.086971
"203","2pm",93.310133,3.746963,2.942905
"204","2pm",98.008221,1.991779,0
"205","2pm",100,0,0
"206","2pm",100,0,0
"207","2pm",98.447528,0,1.552472
"208","2pm",100,0,0
"209","2pm",95.638857,4.361143,0
"210","2pm",17.153178,77.076506,5.770316
"211","2pm",95.247818,4.752182,0
"212","2pm",89.841178,10.158822,0
