"district","hour","mode1","mode2","mode3"
"023","8am",2831.41408,4817.912,1746.0789
"024","8am",815.57013,6181.022,1639.164
"025","8am",716.28081,4248.428,1786.2347
"026","8am",365.60688,5726.658,610.304
"027","8am",1721.44477,3980.161,1005.2382
"028","8am",988.1335,5027.224,1034.5591
"029","8am",868.44193,5252.19,1273.3528
"030","8am",9387.81518,9608.554,3568.6883
"031","8am",1783.21433,11462.929,2089.8081
"032","8am",1909.89648,4029.67,1693.3134
"033","8am",142.14922,4553.636,744.7579
"034","8am",1230.11848,9104.098,624.2897
"035","8am",226.50572,5078.655,890.2821
"036","8am",267.24896,5076.165,667.1564
"037","8am",380.6177,3530.622,907.1094
"038","8am",1377.62371,11356.415,1318.9496
"039","8am",448.11529,10597.846,1070.0527
"040","8am",288.98998,6279.528,463.2356
"041","8am",798.85026,3751.855,924.7613
"042","8am",482.68458,6414.637,1119.8851
"043","8am",172.07097,4028.884,593.1124
"044","8am",186.76654,4560.562,802.511
"045","8am",371.23717,2496.046,1418.1868
"046","8am",398.01988,4751.051,1200.3148
"047","8am",809.92611,8885.088,1054.551
"048","8am",266.07982,2721.533,1141.6225
"049","8am",982.57467,7161.624,392.5804
"050","8am",178.88973,2701.175,778.5361
"051","8am",105.601,4362.448,914.9279
"052","8am",238.11471,5632.482,878.4896
"053","8am",1100.47552,12591.864,503.7237
"101","8am",0,3830.292,1553.4783
"102","8am",76.49507,4208.595,1015.5331
"103","8am",0,6130.728,2836.3163
"104","8am",420.13808,5748.54,1350.3845
"105","8am",29.33913,3709.193,639.5973
"106","8am",604.37617,6251.588,1049.035
"107","8am",415.55258,4760.52,160.5464
"108","8am",0,4295.248,1580.3939
"109","8am",0,3413.223,900.9244
"110","8am",258.69481,7136.009,504.6206
"111","8am",60.66794,5778.461,1704.6856
"112","8am",0,4317.594,780.5004
"113","8am",1306.03085,7526.389,980.4239
"114","8am",291.91598,3408.115,1267.3253
"115","8am",27.92131,2210.929,1657.6698
"116","8am",1524.28069,4674.171,2380.0654
"117","8am",162.22672,1840.777,1196.2438
"118","8am",932.5166,4634.597,2551.001
"119","8am",966.0238,9062.715,1127.7161
"120","8am",92.27523,4135.558,991.2918
"121","8am",73.41168,8874.909,1003.3139
"122","8am",96.72707,4952.742,805.4111
"123","8am",159.03757,5769.093,994.7825
"124","8am",0,3665.044,719.1186
"125","8am",390.74242,4411.796,496.4824
"126","8am",112.1516,2657.921,149.0953
"127","8am",637.88371,3062.919,923.7244
"128","8am",48.82533,3190.98,474.1115
"129","8am",47.6485,4021.606,502.4886
"130","8am",240.27952,2526.638,632.4607
"131","8am",44.59446,5313.476,2308.293
"132","8am",328.9508,8145.469,2364.9879
"133","8am",629.64357,7771.187,2565.7978
"134","8am",18.82178,2295.066,695.9341
"135","8am",0,3361.201,743.4321
"136","8am",0,3670.654,526.6159
"200","8am",154.59114,4981.804,1285.3655
"201","8am",90.2825,4347.706,1071.6252
"202","8am",341.7008,7122.807,796.4137
"203","8am",416.65352,4350.36,856.5644
"204","8am",57.81042,3531.108,1025.1262
"205","8am",560.29691,7302.218,1716.802
"206","8am",0,4414.71,687.3481
"207","8am",41.15878,3801.556,571.6624
"208","8am",151.76962,6291.035,1033.2623
"209","8am",41.15878,3931.906,687.0143
"210","8am",597.31193,8462.67,1499.2706
"211","8am",0,3967.433,457.8259
"212","8am",0,3628.28,952.4977
"213","8am",0,4045.294,1090.2406
"214","8am",0,3304.844,1130.666
"215","8am",0,5710.512,917.2822
"216","8am",0,4764.896,981.3409
"217","8am",796.49928,8731.922,2126.4604
"218","8am",375.0184,4536.11,841.3909
"219","8am",0,3800.955,1053.7158
"220","8am",39.22838,4259.418,662.4312
"221","8am",44.02199,3008.722,602.9615
"222","8am",0,5150.739,466.0567
"223","8am",0,2234.648,392.9086
"224","8am",1242.41361,5076.576,1113.7059
"225","8am",125.0583,2675.255,694.5923
"226","8am",141.26791,4426.485,1100.8634
"227","8am",152.30231,4279.93,1111.0481
"228","8am",146.86659,6187.268,474.347
"229","8am",300.1073,5215.989,584.6288
"230","8am",0,2897.986,548.2069
"231","8am",793.7649,5617.955,1317.3887
"232","8am",0,2188.633,398.4978
"233","8am",0,3008.26,1321.518
"001","9am",6718.10676,3521.358,5438.2936
"002","9am",6745.98027,4634.724,4675.3062
"003","9am",2184.54877,2123.151,3234.8395
"004","9am",6203.58284,4572.827,4670.1442
"005","9am",3641.98786,2942.899,3127.8085
"006","9am",3796.84554,4370.359,2729.5412
"007","9am",8134.95261,10647.338,5873.8949
"008","9am",1039.66136,3108.396,1248.3458
"009","9am",923.70158,2140.955,1263.4374
"010","9am",1076.91097,3484.967,2386.2865
"011","9am",1640.70466,2710.563,1516.3995
"012","9am",889.68582,2109.531,1983.2612
"013","9am",812.46967,3239.989,1298.2614
"014","9am",3255.66171,4142.55,1860.1905
"015","9am",1177.37577,2590.215,1933.5192
"016","9am",2082.55436,6368.397,2641.6705
"017","9am",4047.93467,5572.127,2371.9914
"018","9am",744.71759,6507.349,1910.8703
"019","9am",1456.81531,6016.534,2363.3401
"020","9am",2068.32534,6113.904,1551.3059
"021","9am",426.01858,3691.257,949.4634
"022","9am",1591.06977,7463.561,2020.6092
"023","9am",3110.31951,6016.59,1726.5555
"024","9am",717.37972,6630.063,1911.7768
"025","9am",716.57245,4515.343,1498.2334
"026","9am",365.60688,6487.057,589.6913
"027","9am",1812.76897,4071.427,1137.4292
"028","9am",1107.94804,5416.187,941.3845
