"district","hour","educmen1","educmen2","educmen3","educmen4"
"002","3am",9.748895,39.73547,50.13666,0.3789741
"003","3am",8.117144,43.40981,48.47304,0
"004","3am",7.028693,40.24917,52.72214,0
"005","3am",6.781543,41.58425,50.9862,0.6480011
"006","3am",12.02992,54.81684,32.73968,0.4135647
"007","3am",11.582975,49.22534,38.30536,0.8863217
"008","3am",11.854271,56.74945,28.69497,2.7013033
"009","3am",8.640076,57.63864,33.35521,0.3660747
"010","3am",17.598557,41.42613,40.97532,0
"011","3am",12.397687,47.89975,39.70257,0
"012","3am",11.180859,51.22616,36.27256,1.3204221
"013","3am",10.258159,50.69834,38.28635,0.7571477
"014","3am",11.303904,55.81106,32.88504,0
"015","3am",6.709645,49.35932,43.93103,0
"016","3am",9.698795,57.32485,32.48186,0.4944958
"017","3am",15.283669,57.88983,26.8265,0
"018","3am",11.464036,44.90571,42.4735,1.1567494
