"district","hour","cs1","cs2","cs3","cs4","cs5"
"022","12am",350.70737,1060.5746,2599.181,967.1791,582.9139
"023","12am",29.45372,567.7939,2733.706,1915.8532,489.1822
"024","12am",411.27163,1223.2404,1948.113,1324.3078,231.864
"025","12am",484.25777,1875.0425,3408.461,1883.5698,563.0954
"026","12am",191.46809,1631.8235,1972.047,1719.5302,822.5529
"027","12am",374.51386,1417.9169,1591.958,1907.3082,242.1485
"028","12am",274.93554,1264.7466,3604.774,1778.5064,718.2567
"029","12am",118.7952,1489.2402,2741.029,1040.9868,775.9695
"030","12am",154.47894,1594.3652,3488.489,1551.1976,849.1427
"001","1pm",512.23159,2129.9614,2809.545,3654.6318,863.7425
"002","1pm",216.04819,1219.9523,1624.597,2654.8544,463.5589
"003","1pm",461.25848,2209.0148,5655.952,2571.2741,1293.5496
"004","1pm",381.44482,1334.4702,3060.269,1840.6271,1188.1699
"005","1pm",119.97525,1054.5034,2392.542,2527.0717,391.2993
"006","1pm",205.52491,1087.9683,2915.134,1553.381,905.0759
"007","1pm",230.02203,2565.511,2535.043,1729.7088,844.7778
"008","1pm",121.02859,796.9718,2852.871,2128.3595,823.8452
"009","1pm",222.16674,599.042,2824.574,2017.7997,1806.31
"010","1pm",69.5458,634.7707,2078.338,1838.6785,463.5056
"011","1pm",326.42876,945.0736,4536.611,3289.8503,2825.5852
"012","1pm",0,1005.532,3471.318,2262.8191,1069.5661
"013","1pm",313.07278,986.9618,2043.036,2796.0571,1456.4305
"014","1pm",153.96815,423.6869,2820.824,822.5078,1220.599
"015","1pm",296.46985,656.5833,3095.665,1728.2344,834.1702
"016","1pm",125.63729,1486.1044,5789.784,2384.8266,1771.0357
"017","1pm",444.3452,2239.5242,2736.171,2096.8811,573.5453
"018","1pm",0,596.6465,2590.539,1314.0475,1143.763
"019","1pm",83.19639,1032.3237,2733.827,2575.1139,714.4141
"020","1pm",360.37175,1118.3401,3998.251,1930.1759,2036.7124
"021","1pm",197.08523,991.9095,3762.98,2442.0144,826.1314
"022","1pm",315.08669,1232.0907,2595.72,1066.7734,592.5996
"023","1pm",29.45372,605.9998,2385.466,2089.6035,455.7304
"024","1pm",411.27163,1054.3021,1733.53,1256.3676,265.5039
"025","1pm",484.25777,1705.223,3570.683,2091.2188,563.0954
"026","1pm",191.46809,1735.0148,2206.727,1796.3155,635.5583
"027","1pm",374.51386,1471.99,1718.787,1875.0107,245.2961
"028","1pm",274.93554,1286.0183,3620.714,1432.6883,766.3051
"029","1pm",118.7952,1402.2925,2441.941,1073.5193,603.8134
"030","1pm",154.47894,1710.5621,3306.764,1631.3749,1084.4267
"001","2pm",512.23159,2059.021,2861.249,3466.5155,896.2877
"002","2pm",216.04819,1319.9437,1969.57,2654.3103,857.0859
"003","2pm",508.86058,2182.5906,5544.874,2406.911,1332.8278
"004","2pm",333.84272,1354.5194,3008.396,1821.456,716.161
"005","2pm",119.97525,1006.807,2444.294,2680.3644,417.4065
"006","2pm",205.52491,1088.174,2860.189,1482.3188,750.2262
"007","2pm",230.02203,2570.7521,2634.569,1643.0645,830.2938
"008","2pm",121.02859,880.3012,2900.241,2097.6263,747.4147
"009","2pm",269.67074,510.8142,2617.768,2036.3486,1880.8952
"010","2pm",69.5458,634.7707,2044.981,1976.7285,402.6372
"011","2pm",314.59681,869.9598,4677.66,3681.3963,2921.012
"012","2pm",0,932.8459,3116.021,2182.0515,1141.4979
"013","2pm",283.60127,1020.6648,2164.68,2454.2273,1465.846
"014","2pm",189.58883,265.7431,2624.915,520.7014,1290.4374
"015","2pm",296.46985,785.573,3118.879,1612.0987,811.0444
"016","2pm",125.63729,1683.2251,6260.309,2441.9949,1894.0312
"017","2pm",396.8412,2110.5345,2506.872,1944.0576,492.5086
"018","2pm",0,384.8384,2365.568,1153.5743,282.7591
"019","2pm",112.88929,842.0859,2745.175,2039.885,696.3261
"020","2pm",330.67885,1026.6107,4004.53,2470.0357,2166.7821
"021","2pm",197.08523,979.0319,3691.439,2247.8814,996.4673
"022","2pm",315.08669,1214.7864,2549.84,949.9261,516.4753
"023","2pm",29.45372,651.2467,2257.896,2066.188,491.9453
"024","2pm",411.27163,1020.6397,2134.386,1188.1393,279.9461
"025","2pm",484.25777,1786.0496,3662.337,2642.6939,559.594
"026","2pm",191.46809,1575.1211,2122.131,1707.8304,526.4724
"027","2pm",374.51386,1573.1759,1631.559,1912.3762,211.2056
"028","2pm",274.93554,1231.401,3540.317,1430.3183,885.8603
"029","2pm",118.7952,1645.3567,2283.443,1365.6067,537.2564
"030","2pm",206.26096,1530.7247,3546.098,1316.2392,1005.606
"001","3pm",512.23159,2012.7399,2922.171,3458.0205,955.3469
"002","3pm",216.04819,1231.3486,1843.217,2628.1341,920.6671
"003","3pm",508.86058,2273.534,5648.842,2608.8503,1148.9477
"004","3pm",333.84272,1384.3859,3010.468,1807.5658,770.8836
"005","3pm",119.97525,1068.5622,2284.089,2516.4073,417.4065
"006","3pm",205.52491,1037.5467,2890.577,1240.3143,805.0374
"007","3pm",230.02203,2131.347,2633.193,1818.1415,874.1447
"008","3pm",121.02859,962.6309,2745.649,2229.9461,655.7497
"009","3pm",269.67074,466.8521,2327.691,2110.3315,1817.7724
"010","3pm",69.5458,613.8456,2160.741,2017.516,344.2074
"011","3pm",314.59681,956.2056,4711.267,3137.9706,2802.6168
"012","3pm",0,902.5582,2920.328,2321.7864,1228.0924
"013","3pm",283.60127,964.7508,2456.126,2514.826,1478.67
"014","3pm",189.58883,384.2868,2856.925,546.4458,2074.3079
"015","3pm",296.46985,785.573,2593.326,1588.8605,836.7867
"016","3pm",125.63729,1595.786,6245.194,2809.5831,1937.8075
"017","3pm",396.8412,2079.4719,2964.842,2049.2912,492.5086
"018","3pm",0,538.4129,2587.866,1106.0885,322.9409
"019","3pm",112.88929,842.0859,2751.932,1988.1712,502.7577
"020","3pm",330.67885,1038.9409,3900.697,2450.8793,2275.5657
"021","3pm",197.08523,896.4368,4252.729,2210.5359,1020.7201
"022","3pm",315.08669,1276.0894,2101.032,953.661,552.096
"023","3pm",29.45372,567.0907,2153.31,2032.5987,429.0287
"024","3pm",411.27163,977.0854,2166.487,1339.2746,279.9461
"025","3pm",484.25777,1707.9002,3394.258,2189.5664,602.3864
"026","3pm",139.49944,1589.9276,1926.668,1678.7957,547.8121
"027","3pm",326.29553,1342.3596,1618.076,2015.2073,211.2056
"028","3pm",274.93554,1356.8639,3523.286,1430.3183,696.3768
"029","3pm",118.7952,1866.668,2246.169,1569.7263,544.4331
"030","3pm",258.22961,1392.852,3970.12,1338.5099,1129.9829
"001","4pm",512.23159,2073.6246,2887.768,3744.8905,869.2677
"002","4pm",216.04819,1387.7392,1995.32,2745.1805,1020.6926
"003","4pm",508.86058,2167.1849,5379.37,2433.1296,1250.9972
"004","4pm",333.84272,1384.3859,3209.424,1823.4438,859.7602
"005","4pm",119.97525,1098.2359,2464.403,2532.5556,467.6478
