"district","hour","age1","age2","age3","age4"
"011","10pm",1132.08,648.72,3892.32,1106.64
"012","10pm",1755.36,1437.36,6996,3523.44
"013","10pm",2315.04,1462.8,8522.4,3014.64
"014","10pm",941.28,648.72,3866.88,1348.32
"015","10pm",610.56,839.52,4159.44,1564.56
"016","10pm",1017.6,852.24,4706.4,1221.12
"017","10pm",966.72,890.4,4820.88,1450.08
"018","10pm",1233.84,1055.76,4528.32,1310.16
"019","10pm",788.64,814.08,3561.6,775.92
"020","10pm",546.96,228.96,3001.92,1475.52
"021","10pm",763.2,877.68,4261.2,1093.92
"022","10pm",394.32,699.6,3739.68,2009.76
"023","10pm",712.32,623.28,3319.92,1081.2
"024","10pm",750.48,661.44,2925.6,1246.56
"025","10pm",763.2,750.48,4197.6,1640.88
"026","10pm",521.52,470.64,2925.6,1742.64
"027","10pm",559.68,432.48,3269.04,1272
"028","10pm",661.44,725.04,3396.24,890.4
"029","10pm",343.44,318,1030.32,101.76
"001","11pm",508.8,674.16,2429.52,1908
"002","11pm",826.8,699.6,2175.12,2124.24
"003","11pm",686.88,788.64,3383.52,1551.84
"004","11pm",1424.64,1729.92,5507.76,4006.8
"005","11pm",1857.12,1348.32,6563.52,4134
"006","11pm",2315.04,1818.96,9031.2,2569.44
"007","11pm",1793.52,1628.16,8725.92,6232.8
"008","11pm",763.2,839.52,3917.76,1831.68
"009","11pm",1017.6,699.6,4464.72,1704.48
