"district","hour","act1","act2","act3","act4","act5"
"002","9pm",4018.126,75.683872,0,20.641056,151.367744
"003","9pm",3976.843,89.444576,0,13.760704,137.60704
"004","9pm",4630.477,27.521408,0,0,199.530208
"005","9pm",3742.911,144.487392,6.880352,0,275.21408
"006","9pm",4485.99,116.965984,0,0,130.726688
"007","9pm",4362.143,34.40176,0,0,103.20528
"008","9pm",4644.238,20.641056,6.880352,6.880352,89.444576
"009","9pm",4761.204,75.683872,20.641056,0,337.137248
"010","9pm",4107.57,96.324928,0,6.880352,240.81232
"011","9pm",4472.229,110.085632,0,6.880352,364.658656
"012","9pm",4485.99,41.282112,0,0,75.683872
"013","9pm",3364.492,27.521408,0,0,6.880352
"014","9pm",4878.17,144.487392,0,0,254.573024
"015","9pm",4616.716,6.880352,0,0,96.324928
"016","9pm",4472.229,34.40176,0,0,144.487392
"017","9pm",4107.57,0,0,0,6.880352
"018","9pm",4706.161,82.564224,6.880352,0,123.846336
"019","9pm",4313.981,61.923168,0,0,116.965984
"020","9pm",4644.238,41.282112,0,6.880352,75.683872
"021","9pm",4265.818,20.641056,0,0,75.683872
"001","10pm",4396.545,110.085632,61.923168,0,172.0088
"002","10pm",4080.049,61.923168,0,6.880352,68.80352
"003","10pm",4100.69,75.683872,0,0,27.521408
"004","10pm",4761.204,13.760704,0,0,68.80352
"005","10pm",3832.356,68.80352,0,0,123.846336
"006","10pm",4568.554,116.965984,0,0,55.042816
"007","10pm",4458.468,13.760704,0,0,41.282112
"008","10pm",4761.204,13.760704,6.880352,0,41.282112
"009","10pm",4864.409,82.564224,6.880352,0,185.769504
"010","10pm",4217.656,68.80352,0,0,185.769504
"011","10pm",4561.673,68.80352,0,20.641056,206.41056
"012","10pm",4602.955,34.40176,0,0,55.042816
"013","10pm",3398.894,34.40176,0,0,0
"014","10pm",5036.418,151.367744,0,0,185.769504
"015","10pm",4733.682,6.880352,0,0,61.923168
"016","10pm",4637.357,41.282112,0,0,110.085632
"017","10pm",4162.613,0,0,0,6.880352
"018","10pm",4781.845,82.564224,6.880352,0,55.042816
"019","10pm",4389.665,61.923168,0,0,82.564224
"020","10pm",4719.921,41.282112,0,0,61.923168
"021","10pm",4355.263,20.641056,0,0,61.923168
"001","11pm",4437.827,110.085632,41.282112,0,123.84634
"002","11pm",4107.57,27.521408,0,0,13.7607
"003","11pm",4148.852,68.80352,0,0,20.64106
"004","11pm",4802.486,13.760704,0,0,41.28211
"005","11pm",3880.519,41.282112,0,0,82.56422
"006","11pm",4589.195,96.324928,0,0,48.16246
"007","11pm",4596.075,6.880352,0,0,27.52141
