"district","hour","cs1","cs2","cs3","cs4","cs5"
"030","12am",0,0,0,0,0
"031","12am",0,739.7371,0,503.5495,0
"032","12am",0,0,0,0,0
"033","12am",0,0,0,0,0
"034","12am",0,0,0,0,0
"035","12am",0,0,0,0,0
"036","12am",0,0,0,0,0
"037","12am",0,0,0,0,0
"038","12am",0,645.757,0,0,0
"039","12am",0,0,0,0,0
"040","12am",0,0,0,0,0
"041","12am",0,0,0,0,0
"001","1pm",0,852.2666,2486.9373,1984.9001,0
"002","1pm",0,0,1039.4589,986.3491,0
"003","1pm",0,0,0,0,0
"004","1pm",0,0,609.7746,0,0
"005","1pm",0,700.7675,1404.0476,678.3794,0
"006","1pm",0,0,629.0141,0,0
"007","1pm",0,0,0,0,0
"008","1pm",0,0,0,0,0
"009","1pm",0,1321.8399,721.4898,852.4342,0
"010","1pm",0,0,571.2309,868.8512,0
"011","1pm",0,0,585.2288,0,0
"012","1pm",0,1534.0227,0,802.7426,0
"013","1pm",0,732.5708,1743.5193,763.0319,0
"014","1pm",0,0,0,0,0
"015","1pm",0,0,0,0,0
"016","1pm",0,0,0,0,0
"017","1pm",0,0,0,0,0
"018","1pm",0,993.5936,0,0,0
"019","1pm",0,0,0,0,0
"020","1pm",0,0,0,0,0
"021","1pm",0,0,1328.6275,706.8886,0
"022","1pm",0,0,0,0,0
"023","1pm",0,526.8047,0,0,0
"024","1pm",0,0,0,0,0
"025","1pm",0,0,0,0,0
"026","1pm",0,0,0,0,0
"027","1pm",0,0,0,0,0
"028","1pm",0,0,0,0,0
"029","1pm",0,0,0,556.3939,0
"030","1pm",0,0,0,0,0
"031","1pm",0,891.771,661.5178,464.0318,0
"032","1pm",0,505.5579,0,0,0
"033","1pm",0,0,0,0,0
"034","1pm",0,0,0,0,0
"035","1pm",0,0,0,0,0
"036","1pm",0,0,0,0,0
"037","1pm",0,0,0,0,0
"038","1pm",0,705.9854,0,0,0
"039","1pm",0,0,0,0,0
"040","1pm",0,0,0,0,0
"041","1pm",0,0,0,0,0
"001","2pm",834.6067,1158.6515,2920.7665,2125.7712,572.9723
"002","2pm",0,0,1248.003,1165.5494,0
"003","2pm",0,0,0,0,0
"004","2pm",0,0,846.0548,0,0
"005","2pm",0,701.6407,1408.8441,636.7347,0
"006","2pm",0,0,726.4432,0,0
"007","2pm",0,0,0,0,0
"008","2pm",0,0,0,0,0
"009","2pm",0,924.461,648.6692,769.1929,0
"010","2pm",0,0,526.3853,1001.9021,0
"011","2pm",0,0,772.7332,0,0
"012","2pm",0,1112.3675,0,617.6551,0
"013","2pm",0,1354.1641,2192.9656,1428.8765,0
"014","2pm",0,0,0,0,0
"015","2pm",0,0,0,0,0
"016","2pm",0,0,0,0,0
"017","2pm",0,0,0,0,0
"018","2pm",0,732.1156,0,0,0
"019","2pm",0,0,0,0,0
"020","2pm",0,0,0,0,0
"021","2pm",376.3341,0,1317.5746,1067.6695,0
"022","2pm",0,0,0,0,0
"023","2pm",0,0,0,0,0
"024","2pm",0,0,0,0,0
"025","2pm",0,0,0,0,0
"026","2pm",0,0,0,0,0
"027","2pm",0,0,0,0,0
"028","2pm",0,0,0,0,0
"029","2pm",0,0,0,556.3939,0
"030","2pm",0,0,0,0,0
"031","2pm",0,700.3357,822.3302,496.7208,458.7081
"032","2pm",0,536.0033,0,0,0
"033","2pm",0,0,0,0,0
"034","2pm",0,0,0,0,0
"035","2pm",0,0,0,0,0
"036","2pm",0,0,0,0,0
"037","2pm",0,826.6748,0,0,0
"038","2pm",0,0,0,0,0
"039","2pm",0,0,455.0315,0,0
"040","2pm",0,0,0,0,0
"041","2pm",0,0,0,0,0
"001","3pm",754.1562,883.8573,3085.1376,2270.1863,554.8901
"002","3pm",0,0,1190.1061,1190.3215,0
"003","3pm",0,0,0,0,0
"004","3pm",0,0,829.8519,0,0
"005","3pm",0,702.2198,1389.8582,584.3015,0
"006","3pm",0,0,740.8579,0,0
"007","3pm",0,0,0,0,0
"008","3pm",0,0,0,0,0
"009","3pm",0,1029.6173,569.9098,654.6212,0
"010","3pm",0,0,570.1231,992.6037,0
"011","3pm",0,0,780.4472,0,0
"012","3pm",0,925.9683,0,0,0
"013","3pm",0,1604.0204,2206.64,1354.6038,0
"014","3pm",0,0,0,0,0
"015","3pm",0,0,0,0,0
"016","3pm",0,0,0,0,0
"017","3pm",0,0,0,0,0
"018","3pm",0,774.4429,0,0,0
"019","3pm",0,0,0,0,0
"020","3pm",0,0,0,0,0
"021","3pm",0,0,1527.8725,1114.8372,0
"022","3pm",0,0,0,0,0
"023","3pm",0,0,0,0,0
"024","3pm",0,0,0,0,0
"025","3pm",0,0,0,0,0
"026","3pm",0,0,0,0,0
"027","3pm",0,0,0,0,0
"028","3pm",0,0,0,0,0
"029","3pm",0,507.2628,0,0,0
"030","3pm",0,0,0,0,0
"031","3pm",0,656.9675,772.1996,0,0
"032","3pm",0,575.1661,751.3823,0,0
"033","3pm",0,0,0,0,0
"034","3pm",0,0,0,0,0
"035","3pm",0,0,0,0,0
"036","3pm",0,0,0,0,0
"037","3pm",0,758.5016,0,0,0
"038","3pm",0,0,0,0,0
"039","3pm",0,0,0,0,0
"040","3pm",0,0,0,0,0
"041","3pm",0,0,0,0,0
"001","4pm",0,710.3489,2130.084,1926.0583,553.7279
"002","4pm",0,0,1070.5703,1108.0102,0
"003","4pm",0,0,0,0,0
"004","4pm",0,0,642.1254,0,0
"005","4pm",0,564.9922,1069.3424,0,0
"006","4pm",0,0,0,0,0
"007","4pm",0,0,0,0,0
"008","4pm",0,0,0,0,0
"009","4pm",0,820.6052,0,731.2497,0
"010","4pm",0,0,0,746.6439,0
"011","4pm",0,0,727.7232,0,0
"012","4pm",0,487.4479,0,0,0
"013","4pm",0,790.3197,1786.2341,1401.5512,0
"014","4pm",0,0,0,0,0
"015","4pm",0,0,0,0,0
"016","4pm",0,0,0,0,0
"017","4pm",0,0,0,0,0
"018","4pm",0,568.086,0,0,0
"019","4pm",0,0,0,0,0
"020","4pm",0,0,0,0,0
"021","4pm",0,0,1117.6058,613.5429,0
"022","4pm",0,0,0,0,0
"023","4pm",0,0,0,0,0
"024","4pm",0,0,0,0,0
"025","4pm",0,0,0,0,0
"026","4pm",0,0,0,0,0
"027","4pm",0,0,0,0,0
"028","4pm",0,0,0,0,0
"029","4pm",0,0,0,0,0
"030","4pm",0,0,0,0,0
"031","4pm",0,487.5546,745.5444,0,0
"032","4pm",0,558.5531,577.5157,0,0
"033","4pm",0,0,0,0,0
