"district","hour","rev5","rev1","rev2","rev3","rev4"
"012","9am",26.65651,8.530084,20.18279,28.40823,16.222391
"013","9am",22.84483,13.074713,24.42529,30.74713,8.908046
"014","9am",25,5.19802,15.59406,32.67327,21.534653
"015","9am",25.93284,15.11194,27.98507,21.26866,9.701493
"016","9am",24.4856,13.99177,32.51029,24.27984,4.73251
"017","9am",25.98608,12.993039,21.34571,30.39443,9.280742
"018","9am",26.31579,10.755149,28.14645,24.02746,10.755149
"019","9am",26.21681,10.951327,28.20796,25.66372,8.960177
"020","9am",28.4495,19.061166,22.90185,21.62162,7.965861
"021","9am",23.77049,17.798595,25.40984,25.17564,7.845433
"023","9am",26.63043,6.929348,28.66848,26.63043,11.141304
"024","9am",27.27273,16.623377,26.75325,24.67532,4.675325
"025","9am",30.37037,32.222222,24.44444,10,2.962963
"026","9am",29.4964,7.553957,22.66187,31.29496,8.992806
"027","9am",25.0996,11.155378,32.66932,25.0996,5.976096
"028","9am",26.9103,11.627907,22.59136,27.90698,10.963455
"029","9am",28.19315,8.566978,21.33956,28.19315,13.707165
"030","9am",28.74433,13.76702,24.81089,24.05446,8.623298
"031","9am",23.55507,19.411123,27.04471,22.79171,7.197383
"032","9am",24.23358,15.620438,23.50365,26.13139,10.510949
"033","9am",23.17497,10.892236,29.66396,24.68134,11.587486
"034","9am",23.7911,8.704062,24.75822,29.78723,12.959381
"035","9am",22.71386,7.374631,24.26254,30.82596,14.823009
"036","9am",28.99729,8.943089,27.37127,26.55827,8.130081
"037","9am",26.51515,14.141414,26.38889,24.49495,8.459596
"038","9am",24.59459,12.162162,34.05405,20,9.189189
"039","9am",23.60248,10.559006,38.19876,22.04969,5.590062
"040","9am",23.54212,9.287257,29.58963,29.80562,7.775378
"041","9am",23.45277,8.794788,34.85342,28.01303,4.885993
"042","9am",24.50495,7.425743,24.50495,31.93069,11.633663
"043","9am",27.71536,13.60799,24.46941,25.96754,8.2397
"044","9am",23.69478,12.449799,23.82865,27.17537,12.851406
"045","9am",31.67539,10.471204,26.70157,21.20419,9.947644
"046","9am",22.86213,13.438045,26.17801,25.65445,11.867365
"047","9am",30.14184,9.574468,27.65957,28.7234,3.900709
"048","9am",22.16561,9.681529,28.40764,28.15287,11.592357
"049","9am",26.71906,6.090373,29.86248,25.73674,11.591356
"050","9am",29.32039,10.873786,24.85437,25.04854,9.902913
"051","9am",19.23077,14.903846,26.44231,29.32692,10.096154
"052","9am",25.80153,7.633588,31.14504,26.10687,9.312977
"053","9am",24.31193,12.385321,27.52294,24.31193,11.46789
"054","9am",25.4717,13.679245,30.66038,25,5.188679
"055","9am",24,14.4,33.2,22.8,5.6
"056","9am",24.05063,12.658228,35.75949,21.51899,6.012658
"059","9am",20.98569,3.81558,23.52941,35.4531,16.216216
"060","9am",23.12704,15.309446,26.05863,25.08143,10.423453
"061","9am",31.59609,3.583062,20.52117,24.7557,19.543974
"062","9am",28.90625,17.578125,22.65625,25.78125,5.078125
"063","9am",25.47945,14.246575,34.52055,18.35616,7.39726
"064","9am",28.6,13.8,32,20,5.6
"065","9am",19.71429,18,29.71429,26,6.571429
"066","9am",25.5988,16.167665,29.64072,20.50898,8.083832
"067","9am",28.97727,15.340909,28.69318,18.46591,8.522727
"068","9am",27.60943,18.518519,29.96633,16.49832,7.407407
"069","9am",19.40299,5.882353,21.94908,30.55312,22.212467
"070","9am",21.84874,9.495798,18.06723,30.7563,19.831933
"071","9am",21.80143,11.975435,20.57318,28.96622,16.683726
"072","9am",25.26178,6.937173,17.27749,29.71204,20.811518
"073","9am",23.03483,11.791045,22.43781,27.56219,15.174129
"074","9am",31.44444,16.333333,25.44444,20.55556,6.222222
"075","9am",32.82209,15.95092,27.60736,21.16564,2.453988
"076","9am",27.77778,8.950617,28.39506,26.23457,8.641975
"001","10am",19.80026,9.769865,19.53973,32.43595,18.45419
"003","10am",19.91774,13.924794,20.21152,29.08343,16.862515
"004","10am",21.875,24.810606,23.95833,21.7803,7.575758
"005","10am",23.24012,18.322083,24.78303,24.59016,9.064609
"006","10am",24.05286,18.854626,29.07489,21.40969,6.60793
"007","10am",24.95463,23.139746,22.68603,22.41379,6.805808
"010","10am",23.80506,9.044049,21.88379,29.56888,15.698219
"011","10am",21.37681,6.884058,21.01449,33.09179,17.63285
"012","10am",26.67732,8.306709,20.52716,28.27476,16.214058
"013","10am",23.95382,13.419913,23.23232,30.01443,9.379509
"014","10am",23.31606,5.699482,17.61658,33.41969,19.948187
"015","10am",25.84906,15.09434,28.11321,20.56604,10.377358
"016","10am",24.59016,14.139344,30.53279,26.02459,4.713115
"017","10am",26.17925,14.150943,21.46226,29.71698,8.490566
"018","10am",25.17162,11.899314,27.23112,24.94279,10.755149
"019","10am",25.31073,12.20339,29.15254,24.51977,8.813559
"020","10am",28.53026,18.731988,23.48703,21.18156,8.069164
"021","10am",24.19355,16.935484,25.23041,25.92166,7.718894
"023","10am",27.45902,7.377049,28.14208,25.95628,11.065574
"024","10am",27.27273,15.775401,27.27273,24.59893,5.080214
"025","10am",32.29572,29.182879,25.29183,10.11673,3.11284
"026","10am",30.54545,7.272727,21.45455,31.27273,9.454545
"027","10am",24.27984,11.522634,32.51029,25.92593,5.761317
"028","10am",27.20848,11.30742,21.55477,27.91519,12.014134
"029","10am",28.50679,8.748115,20.21116,28.65762,13.87632
"030","10am",28.78788,13.333333,25.75758,23.48485,8.636364
"031","10am",23.7678,18.729463,26.50602,22.67251,8.324206
"032","10am",24.96195,15.372907,23.43988,26.33181,9.893455
"033","10am",23.60465,10.348837,29.65116,25.34884,11.046512
"034","10am",24.11067,8.300395,23.91304,30.03953,13.636364
